registro_mapeo,anio,producto,flow_group,lado,bloque,unidad_sectorial,source_record_id,metodo,ajuste,TJ,tipo_STAT,estado_fuente
MAP_0024,2024,LENA,Energy products,Supply,C,A,BEV2_01611,FRONTERA_LENA_A,sin ajuste,342603.9638,,OK
MAP_0025,2024,LENA,Energy products,Use,F,HH,BEV2_01620,USO_HH,sin ajuste,332325.8414,,OK
MAP_0026,2024,LENA,Energy products,Use,E,SERV,BEV2_01621,USO_SERV,sin ajuste,10278.1224,,OK
MAP_0027,2024,PETR,Energy from natural inputs,Supply,A,ENV,BEV2_01625,EXTRACCION_B,sin ajuste,10735.3113,,OK
MAP_0028,2024,PETR,Energy from natural inputs,Use,B,B,BEV2_01625,EXTRACCION_B,sin ajuste,10735.3113,,OK
MAP_0029,2024,PETR,Energy products,Supply,C,B,BEV2_01625,EXTRACCION_B,sin ajuste,10735.3113,,OK
MAP_0030,2024,PETR,Energy products,Supply,D,ROW,BEV2_01626,COMERCIO_EXTERIOR,sin ajuste,191.6138,,OK
MAP_0031,2024,PETR,Energy products,Use,H,ROW,BEV2_01627,COMERCIO_EXTERIOR,sin ajuste,6505.2246,,OK
MAP_0032,2024,PETR,Energy products,Use,G,ACC,BEV2_01628,CAMBIO_EXISTENCIAS,cambio de signo,1491.6013,,OK
MAP_0033,2024,PETR,Energy products,Use,E,ENER,BEV2_01629,TRANSFORMACION_REFINERIA,valor absoluto,2930.0992,,OK
MAP_0034,2024,SOLAR,Energy from natural inputs,Supply,A,ENV,BEV2_01639,INSUMO_NATURAL_RENOVABLE,sin ajuste,909.6136,,OK
MAP_0035,2024,SOLAR,Energy from natural inputs,Use,B,ENER,BEV2_01644,GENERACION_CENTRAL,valor absoluto,909.6136,,OK
MAP_0036,2024,COQUE,Energy products,Supply,D,ROW,BEV2_01654,COMERCIO_EXTERIOR,sin ajuste,25354.7819,,OK
MAP_0037,2024,COQUE,Energy products,Use,G,ACC,BEV2_01656,CAMBIO_EXISTENCIAS,cambio de signo,-4737.9388,,OK
MAP_0038,2024,COQUE,Energy products,Use,E,ENER,BEV2_01658,GENERACION_CENTRAL,valor absoluto,54.0911,,OK
MAP_0039,2024,COQUE,Energy products,Use,E,IND_BEN,BEV2_01664,USO_IND_BEN,sin ajuste,30038.6296,,OK
MAP_0040,2024,DOIL,Energy products,Supply,D,ROW,BEV2_01668,COMERCIO_EXTERIOR,sin ajuste,93364.8408,,OK
MAP_0041,2024,DOIL,Energy products,Use,H,ROW,BEV2_01669,COMERCIO_EXTERIOR,sin ajuste,887.8842,,OK
MAP_0042,2024,DOIL,Energy products,Use,G,ACC,BEV2_01670,CAMBIO_EXISTENCIAS,cambio de signo,224.1498,,OK
MAP_0043,2024,DOIL,Energy products,Use,E,ENER,BEV2_01672,GENERACION_CENTRAL,valor absoluto,434.7042,,OK
MAP_0044,2024,DOIL,Energy products,Use,E,TR_BEN,BEV2_01675,USO_TR_BEN,sin ajuste,84472.6358,,OK
MAP_0045,2024,DOIL,Energy products,Use,E,IND_BEN,BEV2_01678,USO_IND_BEN,sin ajuste,7345.4668,,OK
MAP_0046,2024,ELEC,Energy products,Supply,D,ROW,BEV2_01682,COMERCIO_EXTERIOR,sin ajuste,6706.1344,,OK
MAP_0047,2024,ELEC,Energy products,Use,H,ROW,BEV2_01683,COMERCIO_EXTERIOR,sin ajuste,3694.8114,,OK
MAP_0048,2024,ELEC,Energy products,Supply,C,ENER,BEV2_01686,GENERACION_CENTRAL,sin ajuste,49633.4356,,OK
MAP_0049,2024,ELEC,Energy products,Supply,C,ENER,BEV2_01687,AUTOPRODUCCION,sin ajuste,3575.9969,,OK
MAP_0050,2024,ELEC,Energy products,Use,E,ENER,BEV2_01688,USO_ENER,sin ajuste,2928.5886,,OK
MAP_0051,2024,ELEC,Energy products,Use,E,TR_BEN,BEV2_01689,USO_TR_BEN,sin ajuste,29.2243,,OK
MAP_0052,2024,ELEC,Energy products,Use,F,HH,BEV2_01690,USO_HH,sin ajuste,16781.9526,,OK
MAP_0053,2024,ELEC,Energy products,Use,E,SERV,BEV2_01691,USO_SERV,sin ajuste,12059.1779,,OK
MAP_0054,2024,ELEC,Energy products,Use,E,IND_BEN,BEV2_01692,USO_IND_BEN,sin ajuste,17403.2159,,OK
MAP_0055,2024,ELEC,Energy products,Use,E,ENER,BEV2_01694,PERDIDAS_TRIPLE,sin ajuste,7018.5381,,OK
MAP_0056,2024,ELEC,Energy residuals,Supply,I,ENER,BEV2_01694,PERDIDAS_TRIPLE,sin ajuste,7018.5381,,OK
MAP_0057,2024,ELEC,Energy residuals,Use,Q,ENV,BEV2_01694,PERDIDAS_TRIPLE,sin ajuste,7018.5381,,OK
